Requirement_ID,Evidence_Refs
UR-002,tests/unit/compiler/test_compiler_import.py::test_compile_requires_spec_version_process_and_steps; tests/unit/test_core.py::test_run_content_empty_is_rejected
UR-003,tests/unit/compiler/test_source_shape_contract.py::test_compile_rejects_duplicate_ids_across_subprocess_hierarchy
UR-008,tests/unit/compiler/test_schema_contract.py::test_compile_preserves_first_class_process_context_and_hierarchy; tests/unit/test_ir_models_serialization.py::test_process_context_roundtrips_through_internal_shape
UR-009,tests/unit/ir/test_canonical_entity_contract.py::test_canonical_entity_requires_identity_name_and_kind; tests/unit/test_validate_errors_relations_parallel.py::test_validate_ir_rejects_consumes_with_undeclared_item
UR-010,tests/unit/ir/test_canonical_entity_contract.py::test_canonical_entity_requires_identity_name_and_kind; tests/unit/test_validate_errors_relations_parallel.py::test_validate_ir_rejects_resource_relations_with_unknown_resource
UR-012,tests/unit/test_validate_errors_relations_parallel.py::test_validate_ir_rejects_resource_relations_with_wrong_kind
TR-006,tests/unit/compiler/test_compiler_import.py::test_compile_requires_spec_version_process_and_steps
TR-007,tests/unit/adapters/test_adapters_composition.py::test_parse_adapter_rejects_duplicate_step_ids_across_includes
TR-008,tests/unit/compiler/test_schema_contract.py::test_compile_emits_schema_and_validates
TR-012,tests/unit/compiler/test_schema_contract.py::test_compile_preserves_first_class_process_context_and_hierarchy
TR-022,tests/unit/test_validate_errors_relations_parallel.py::test_validate_ir_rejects_consumes_with_undeclared_item
TR-023,tests/unit/test_validate_errors_relations_parallel.py::test_validate_ir_rejects_resource_relations_with_unknown_resource
TR-024,tests/unit/test_validate_errors_relations_parallel.py::test_validate_ir_rejects_resource_relations_with_wrong_kind
TR-106,tests/unit/test_ir_models_serialization.py::test_canonical_fields_roundtrip_without_metadata_shadow_copy; tests/unit/compiler/test_schema_contract.py::test_compile_preserves_first_class_process_context_and_hierarchy
