Requirement_ID,Area,Constraint,Priority,Target_Release,State,Verification,Contract_Refs,Decision_Record
TR-001,Governance,"Authority is assigned by domain: requirements govern product scope and release, specs govern semantics and interfaces, schemas govern serialized structure, policies govern safety and project rules, ADRs record rationale, and tests verify behavior.",Must,Current,Implemented,"A documentation review or automated check identifies the governing domain, repairs the non-authoritative artifact, and prevents planned requirements or rationale from silently changing current runtime contracts.",docs/GOVERNANCE.md; docs/design/adr/governance_v2.md,Governance v2 replaces the former total authority ladder.
TR-002,Governance,"Changes are classified as scope, contract, implementation, or documentation changes and update only the affected authoritative and executable artifacts defined for that class.",Must,Current,Implemented,"Change review names the class, lists affected requirement IDs for scope or contract changes, and confirms only domain-relevant artifacts were required.",docs/GOVERNANCE.md,
TR-003,Governance,Controlled lifecycle status is required for normative requirement rows and ADRs; ordinary explanatory design notes do not require governance status metadata.,Must,Current,Implemented,CI validates requirement states and ADR status values without rejecting ordinary design notes for missing status headers.,docs/GOVERNANCE.md; docs/design/adr/README.md,The former all-design-document status gate is retired.
TR-004,Governance,"The user and technical requirement CSVs are normative registers with immutable IDs, controlled release and state fields, acceptance or verification criteria, contract references, and explicit decision records through 1.0 and committed post-1.0 scope.",Must,Current,Implemented,"Catalog rows use immutable unique IDs, controlled priority/release/state fields, nonblank acceptance or verification criteria, existing contract references, and a decision record for every Proposed row.",docs/GOVERNANCE.md; docs/requirements/README.md,Catalog normativity and whole-path coverage through 1.0 are approved.
TR-005,Scope,"Core FLO artifacts must be direct projections, summaries, or lightly enriched views of canonical process semantics; distinct analytical methodologies stay downstream.",Must,Current,Implemented,New artifact proposals pass the three-part scope decision test before implementation.,docs/policy/artifact_scope.md,
TR-006,Language,The parser requires top-level spec_version and currently accepts version 0.1.,Must,Current,Implemented,Parser and conformance fixtures reject missing or unsupported versions deterministically.,docs/specs/core_language.md,
TR-007,Composition,"Include paths resolve relative to the including source, includes merge before the current file, include cycles fail, and duplicate step IDs fail.",Must,Current,Implemented,"Valid and invalid include fixtures cover relative resolution, merge precedence, cycle detection, and duplicate IDs.",docs/specs/core_language.md; docs/User_Manual.md,
TR-008,Compiler,The compiler normalizes process-first authored steps into canonical graph-shaped IR with stable nodes and directed edges.,Must,Current,Implemented,"Equivalent inputs yield stable schema-aligned output and downstream components consume canonical IR, not raw YAML mappings.",docs/specs/core_language.md; README.md,
TR-009,Compiler,Explicit top-level transitions or edges suppress implicit sequential synthesis.,Must,Current,Implemented,"A fixture with explicit transitions contains only declared and outcome-derived control flow, without adjacency edges.",docs/specs/core_language.md,
TR-010,Compiler,"Without explicit transitions or edges, synthesize deterministic adjacency edges between successive non-end steps, except after a step with non-empty outcomes.",Must,Current,Implemented,Linear and branching fixtures prove correct edge sets and absence of duplicate implicit branch edges.,docs/specs/core_language.md,
TR-011,Compiler,Compile outcome mappings into labeled outgoing canonical edges from the declaring step.,Must,Current,Implemented,"Branch fixture edge sources, targets, and labels match authored outcomes.",docs/specs/core_language.md,
TR-012,IR schema,"Compiler output is schema-shaped canonical IR with process, nodes, and edges and passes schema/flo_ir.json validation.",Must,Current,Implemented,"IR.schema_aligned is true, IR.to_dict has required top-level fields, and CI schema validation passes.",README.md; docs/specs/core_language.md,
TR-013,IR schema,The packaged wheel and source distribution include runtime copies of flo_ir.json and flo_types.json and resolve them without a source checkout.,Must,Current,Implemented,Installed-package smoke tests locate and validate against packaged schemas.,docs/CHANGELOG.md; docs/ROADMAP.md,
